record_id,glide_id,start_date,end_date,country,area_km2,source,main_cause,fatalities,displaced,severity,flood_impact_index
5513,FL-2024-000019-IRN,2024-02-26,2024-03-07,Iran (Islamic Republic of),"175,791",News,Heavy rain,18,"3,000",1.5,6.5
5514,,2024-02-26,2024-03-01,Peru,"95,634",News,Heavy rain,32,0,1.0,5.7
5516,,2024-02-21,2024-02-22,Brazil,"46,782",FloodList,Heavy rain,8,0,1.0,5.0
5511,,2024-02-12,2024-02-13,Oman,"44,119",News,Heavy rain,3,200,1.0,4.9
5512,FL-2024-000011-PHL,2024-01-28,2024-02-04,Philippines,"4,256",News,Torrential rain,14,0,1.0,4.5
5515,,2024-01-22,2024-01-24,United States of America,753,FloodList,Heavy rain,0,0,1.0,3.4
5509,,2024-01-14,2024-01-15,Brazil,"1,068",News,Heavy rain,11,0,1.0,3.3
5508,,2024-01-07,2024-01-08,South Africa,"225,556",,Heavy rain,41,0,1.5,5.8
5506,,2024-01-06,2024-01-09,Australia,605,News,Heavy rain,0,0,1.5,3.6
5505,,2024-01-01,2024-01-05,Germany,"47,931",News,Heavy rain,0,0,1.0,5.4
5503,,2023-12-30,2024-01-05,France,"7,396",News,Heavy rain,0,491,1.0,4.7
5510,,2023-12-29,2024-01-23,Congo,"4,662",News,Heavy rain,17,0,1.5,5.3
5504,,2023-12-28,2024-01-04,United Kingdom of Great Britain and Northern Ireland,"21,869",FloodList,Heavy rain,0,130,1.0,5.2
5507,FL-2024-000009-COD,2023-12-28,2024-01-12,Democratic Republic of the Congo,"92,099",News,Heavy rain,300,"120,000",2.0,6.5
5495,,2023-12-25,2023-12-29,South Africa,"91,791",News,Heavy rain,21,"5,600",1.0,5.7
5498,,2023-12-22,2023-12-28,Lesotho,"3,034",News,Heavy rain,0,0,1.0,4.3
5500,,2023-12-22,2023-12-25,Thailand,"21,103",News,Heavy rain,6,0,1.0,4.9
5496,,2023-12-18,2023-12-21,United States of America,"89,167",USGS,Heavy rain,0,0,1.5,5.7
5497,,2023-12-16,2023-12-16,Argentina,"1,145",News,Heavy rain,13,0,1.0,3.1
5494,,2023-12-13,2023-12-18,Australia,"9,740",FloodList,Heavy rain,0,0,1.0,4.8
5501,,2023-12-10,2023-12-13,India,"23,760",News,Heavy rain,0,"7,500",1.0,5.0
5502,,2023-12-10,2023-12-13,Bolivia (Plurinational State of),"261,750",News,Heavy rain,8,0,1.0,6.0
5493,,2023-12-04,2023-12-06,United States of America,"53,724",FloodList,Heavy rain,1,0,1.0,5.2
5499,FL-2023-000259-COG,2023-12-01,2023-12-29,Congo,"175,295",News,Heavy rain,7,"4,928",1.5,6.9
5491,FL-2023-000249-AGO,2023-11-30,2023-12-04,Angola,"237,560",News,Heavy rain,30,"20,000",2.0,6.4
5488,,2023-11-17,2023-11-20,United States of America,"3,194",News,Heavy rain,0,8,1.0,4.1
5490,FL-2023-000236-DOM,2023-11-17,2023-11-18,Dominican Republic • Haiti,"10,138",News,Heavy rain,34,"37,000",2.0,4.6
5486,,2023-11-02,2023-11-07,Ethiopia,"311,914",News,Heavy rain,20,"12,000",2.0,6.6
5487,,2023-11-02,2023-11-03,Italy,"19,489",FloodList,Heavy rain,3,300,1.0,4.6
5484,,2023-10-30,2023-11-04,Paraguay,"51,408",News,Heavy rain,6,0,1.0,5.5
5485,FL-2023-000232-COL,2023-10-30,2023-11-03,Colombia,"34,324",News,Heavy rain,0,0,1.0,5.2
5492,,2023-10-29,2023-11-02,Malawi,"5,157",FloodList,Heavy rain,1,0,1.0,4.4
5483,,2023-10-26,2023-10-27,Burundi,"1,591",News,Heavy rain,7,0,1.0,3.5
5479,TC-2023-000212-YEM,2023-10-24,2023-10-31,Yemen,"13,013",News,Tropical cyclone,1,"15,939",1.5,5.2
5478,,2023-10-18,2023-10-21,United Kingdom of Great Britain and Northern Ireland,"22,157",FloodList,Heavy rain,4,340,1.5,5.1
5477,FL-2023-000216-KEN,2023-10-15,2023-11-11,Kenya,"229,835",News,Heavy rain,46,"58,000",1.5,7.0
5473,,2023-10-06,2023-10-10,Myanmar,"4,674",FloodList,Heavy rain,5,"14,934",1.5,4.5
5475,,2023-10-06,2023-10-07,Sri Lanka,"21,227",News,Heavy rain,7,0,1.0,4.6
5482,,2023-10-04,2023-10-04,India,"21,138",News,Ice jam/break-up,92,"12,400",1.5,4.5
5489,,2023-10-04,2023-11-30,Somalia,"637,728",News,Heavy rain,55,"695,000",2.0,7.9
5474,,2023-10-03,2023-10-10,Brazil,"93,711",FloodList,Heavy rain,2,"12,289",1.5,6.1
5480,,2023-09-28,2023-09-29,United States of America,"6,665",News,Torrential rain,0,0,1.0,4.1
5471,,2023-09-25,2023-09-25,Mexico,80,FloodList,Heavy rain,8,0,1.0,1.9
5472,,2023-09-24,2023-09-25,Guatemala,110,FloodList,Heavy rain,6,0,1.0,2.3
5469,,2023-09-23,2023-09-26,South Africa,"132,164",News,Heavy rain,11,"2,710",1.5,5.9
5470,FL-2023-000199-SDN,2023-09-15,2023-09-22,Sudan,"72,376",News,Heavy rain,0,"8,000",1.5,5.9
5476,FL-2023-000215-GHA,2023-09-15,2023-10-24,Ghana,"5,412",News,Dam/Levy break or release,0,"26,000",1.0,5.3
5466,,2023-09-10,2023-09-11,Libya,211,FloodList,Dam/Levy break or release,"5,300","40,000",2.0,2.9
5465,,2023-09-09,2023-09-09,United States of America,805,FloodList,Heavy rain,0,0,1.0,2.9
5481,,2023-09-09,2023-09-13,United States of America,"98,217",News,Heavy rain,2,0,1.0,5.7
5463,,2023-09-08,2023-09-08,China • Hong Kong Special Administrative Region,"108,684",FloodList,Torrential rain,2,"11,000",1.5,5.2
5464,,2023-09-08,2023-09-08,Japan,"5,091",FloodList,Heavy rain,3,40,1.0,3.7
5468,,2023-09-07,2023-09-08,Myanmar,"1,144",News,Heavy rain,0,"1,000",1.0,3.4
5462,,2023-09-05,2023-09-07,Greece • Türkiye • Bulgaria,"11,585",FloodList,Torrential rain,11,340,1.5,4.7
5459,,2023-09-02,2023-09-03,Algeria,"234,541",FloodList,Heavy rain,8,0,1.0,5.7
5460,,2023-09-02,2023-09-04,Spain,"452,296",FloodList,Torrential rain,0,0,1.5,6.3
5461,FL-2023-000169-BRA,2023-09-02,2023-09-04,Brazil,"285,553",FloodList,Heavy rain,46,"25,855",2.0,6.2
5467,FL-2023-000167-LBR,2023-09-01,2023-09-04,Liberia,"9,264",Relief web,Heavy rain,0,520,1.0,4.6
5458,,2023-08-27,2023-08-29,United States of America,"4,931",FloodList,Heavy rain,0,0,1.0,4.2
5457,,2023-08-23,2023-08-23,Tajikistan,"24,805",FloodList,Heavy rain,13,400,1.0,4.4
5455,,2023-08-22,2023-08-22,United States of America,9,FloodList,Heavy rain,0,150,1.0,1.0
5456,,2023-08-22,2023-08-23,Dominican Republic,"3,739",FloodList,Heavy rain,0,300,1.0,3.9
5453,,2023-08-17,2023-08-18,Mexico,"161,862",FloodList,Tropical cyclone,1,0,1.0,5.5
5454,,2023-08-17,2023-08-21,Chile,"83,719",FloodList,Heavy rain,3,"32,728",1.5,5.8
5452,,2023-08-03,2023-08-04,Slovenia,"7,874",FloodList,Heavy rain,3,"4,000",1.5,4.4
5450,,2023-07-22,2023-07-22,Afghanistan,"5,080",FloodList,Heavy rain,12,0,1.0,3.7
5451,,2023-07-22,2023-07-22,Canada,"23,775",FloodList,Heavy rain,0,0,1.0,4.4
5449,,2023-07-20,2023-07-20,Bhutan,61,FloodList,Heavy rain,23,0,1.0,1.8
5448,,2023-07-19,2023-07-20,United States of America,"1,782",FloodList,Torrential rain,0,0,1.0,3.6
5446,,2023-07-15,2023-07-16,United States of America,676,FloodList,Torrential rain,3,0,1.0,3.1
5444,,2023-07-10,2023-07-12,United States of America,"48,826",FloodList,Heavy rain,1,150,1.5,5.3
5439,,2023-07-09,2023-07-10,United States of America,"40,743",FloodList,Heavy rain,1,0,1.0,4.9
5441,,2023-07-09,2023-07-13,Russian Federation,"6,990",FloodList,Torrential rain,0,240,1.0,4.5
5445,,2023-07-09,2023-07-13,India,"4,988",FloodList,Heavy rain,0,"35,000",2.0,4.7
5447,,2023-07-09,2023-07-16,Republic of Korea,"33,455",FloodList,Heavy rain,30,"9,000",2.0,5.7
5442,,2023-07-08,2023-07-10,Türkiye,"34,202",FloodList,Heavy rain,1,500,1.0,5.0
5440,,2023-07-07,2023-07-09,Indonesia,"1,053",FloodList,Heavy rain,5,50,1.5,3.7
5443,,2023-07-07,2023-07-10,Brazil,"7,360",FloodList,Heavy rain,1,"3,578",1.0,4.5
5438,,2023-07-06,2023-07-06,Spain,"1,124",FloodList,Heavy rain,0,0,1.0,3.1
5437,,2023-06-27,2023-06-28,South Africa,"2,090",FloodList,Heavy rain,7,151,1.0,3.6
5435,,2023-06-24,2023-06-24,Serbia,"1,222",FloodList,Torrential rain,2,0,1.0,3.1
5436,,2023-06-23,2023-06-23,Chile,"99,467",FloodList,Heavy rain,2,"5,000",1.5,5.2
5434,,2023-06-21,2023-06-24,Ghana,"22,668",FloodList,Heavy rain,8,0,1.0,5.0
5431,,2023-06-17,2023-06-19,Nepal,"14,824",FloodList,Heavy rain,5,80,1.5,4.8
5430,,2023-06-16,2023-06-18,Brazil,"19,925",FloodList,Torrential rain,11,"4,000",1.5,5.0
5433,,2023-06-16,2023-06-20,India,"184,454",News,Tropical cyclone,12,"150,000",2.0,6.3
5432,,2023-06-14,2023-06-22,India,"119,900",FloodList,Heavy rain,0,"2,211",1.5,6.2
5428,,2023-06-10,2023-06-11,Pakistan,"14,688",FloodList,Heavy rain,20,0,1.0,4.5
5429,,2023-06-08,2023-06-10,Cuba,"34,826",FloodList,Heavy rain,1,"7,259",1.5,5.2
5426,,2023-06-04,2023-06-05,Türkiye,"27,391",FloodList,Heavy rain,2,0,1.0,4.7
5423,,2023-06-03,2023-06-05,Haiti,"1,197",FloodList,Heavy rain,42,"13,390",1.5,3.7
5424,,2023-06-03,2023-06-03,Algeria,"36,905",FloodList,Heavy rain,6,0,1.0,4.6
5425,,2023-06-03,2023-06-04,Ecuador,"16,077",FloodList,Heavy rain,0,0,1.0,4.5
5421,,2023-06-02,2023-06-04,Japan,"14,311",FloodList,Heavy rain,4,0,1.0,4.6
5422,,2023-06-01,2023-06-02,China,"3,350",FloodList,Heavy rain,2,0,1.0,3.8
