emdat_id,emdat_event_id,dfo_id,publisher_external_ids,workbook_row,emdat_country,dfo_country,emdat_start,emdat_end,dfo_start,dfo_end,status,reasons
2014-0123-KAZ,2014-0123,DFO-4242,DFO:4242,3526,Kazakhstan,Kazakhstan,2014-03-23,2014-04-15,2015-03-23,2015-04-15,rejected,no_date_overlap
2014-0210-BGR,2014-0210,DFO-4536,DFO:4536|HANZE:54,14355,Bulgaria,Bulgaria,2014-06-19,2014-06-25,2017-10-24,2017-10-26,rejected,no_date_overlap
2014-0494-MYS,2014-0494,DFO-4216,DFO:4216|GLIDE:FL-2014-000168,3344,Malaysia,Malaysia • Thailand,2014-12-16,2014-12-30,2014-12-20,2015-01-01,accepted,
2014-0495-LKA,2014-0495,DFO-4215,DFO:4215,26936,Sri Lanka,Sri Lanka,2014-12-01,2015-01-05,2014-12-20,2015-01-01,accepted,
2014-0532-BOL,2014-0532,DFO-4220,DFO:4220|GLIDE:FL-2015-000008,3325,Bolivia (Plurinational State of),Bolivia (Plurinational State of),2014-10-01,2015-02-01,2015-01-05,2015-02-09,rejected,incomplete_publisher_date
2015-0011-MOZ,2015-0011,DFO-4219,DFO:4219|GLIDE:FL-2015-000006,14433,Mozambique,Malawi • Mozambique,2015-01-01,2015-02-09,2015-01-01,2015-02-09,accepted,
2015-0011-MWI,2015-0011,DFO-4219,DFO:4219|GLIDE:FL-2015-000006,14434,Malawi,Malawi • Mozambique,2015-01-01,2015-01-21,2015-01-01,2015-02-09,accepted,
2015-0038-BGR,2015-0038,DFO-4221,DFO:4221|HANZE:403|HANZE:57,3267,Bulgaria,Greece • Albania,2015-02-01,2015-02-04,2015-02-01,2015-02-09,rejected,country_mismatch
2015-0038-GRC,2015-0038,DFO-4221,DFO:4221|HANZE:403|HANZE:57,3265,Greece,Greece • Albania,2015-01-30,2015-02-09,2015-02-01,2015-02-09,accepted,
2015-0038-TUR,2015-0038,DFO-4221,DFO:4221|HANZE:403|HANZE:57,3259,Türkiye,Greece • Albania,2015-01-30,2015-02-02,2015-02-01,2015-02-09,rejected,country_mismatch
2015-0056-IDN,2015-0056,DFO-4222,DFO:4222,22009,Indonesia,Indonesia,2015-02-05,2015-02-09,2015-02-05,2015-02-09,accepted,
