match_group_id,source,source_id,country,start_date,end_date
1,DFO,DFO-5513,Iran (Islamic Republic of),2024-02-26,2024-03-07
1,EM-DAT,2024-0120-IRN,Iran (Islamic Republic of),2024-02-27,2024-03-08
2,DFO,DFO-5514,Peru,2024-02-26,2024-03-01
2,EM-DAT,2024-0103-PER,Peru,2024-02-19,2024-02-21
3,DFO,DFO-5516,Brazil,2024-02-21,2024-02-22
3,EM-DAT,2024-0108-BRA,Brazil,2024-02-13,2024-02-16
3,EM-DAT,2024-0098-BRA,Brazil,2024-02-21,2024-02-23
4,DFO,DFO-5511,Oman,2024-02-12,2024-02-13
4,EM-DAT,2024-0076-OMN,Oman,2024-02-11,2024-02-13
5,DFO,DFO-5512,Philippines,2024-01-28,2024-02-04
5,EM-DAT,2024-0020-PHL,Philippines,2024-01-14,2024-02-02
6,DFO,DFO-5509,Brazil,2024-01-14,2024-01-15
6,EM-DAT,2024-0012-BRA,Brazil,2024-01-08,2024-01-16
7,DFO,DFO-5508,South Africa,2024-01-07,2024-01-08
7,EM-DAT,2024-0015-ZAF,South Africa,2024-01-12,2024-01-19
8,DFO,DFO-5503,France,2023-12-30,2024-01-05
8,EM-DAT,2023-0866-FRA,France,2023-12-30,2024-01-03
9,DFO,DFO-5499,Congo,2023-12-01,2023-12-29
9,DFO,DFO-5510,Congo,2023-12-29,2024-01-23
9,EM-DAT,2023-0868-COG,Congo,2023-12-07,2024-01-15
10,DFO,DFO-5507,Democratic Republic of the Congo,2023-12-28,2024-01-12
10,EM-DAT,2023-0857-COD,Democratic Republic of the Congo,2023-12-26,2023-12-27
10,EM-DAT,2024-0268-COD,Democratic Republic of the Congo,2024-01-11,2024-01-20
11,DFO,DFO-5495,South Africa,2023-12-25,2023-12-29
11,EM-DAT,2023-0855-ZAF,South Africa,2023-12-24,2023-12-26
12,DFO,DFO-5500,Thailand,2023-12-22,2023-12-25
12,EM-DAT,2023-0854-THA,Thailand,2023-12-22,2023-12-25
13,DFO,DFO-5501,India,2023-12-10,2023-12-13
13,EM-DAT,2023-0846-IND,India,2023-12-18,2023-12-20
14,DFO,DFO-5502,Bolivia (Plurinational State of),2023-12-10,2023-12-13
14,EM-DAT,2023-0783-BOL,Bolivia (Plurinational State of),2023-12-10,2023-12-13
15,DFO,DFO-5493,United States of America,2023-12-04,2023-12-06
15,EM-DAT,2023-0785-USA,United States of America,2023-12-04,2023-12-06
16,DFO,DFO-5491,Angola,2023-11-30,2023-12-04
16,EM-DAT,2023-0844-AGO,Angola,2023-11-30,2023-12-05
17,DFO,DFO-5490,Dominican Republic • Haiti,2023-11-17,2023-11-18
17,EM-DAT,2023-0763-DOM,Dominican Republic,2023-11-17,2023-11-18
17,EM-DAT,2023-0763-HTI,Haiti,2023-11-17,2023-11-18
18,DFO,DFO-5486,Ethiopia,2023-11-02,2023-11-07
18,EM-DAT,2023-0728-ETH,Ethiopia,2023-10-01,2023-11-30
19,DFO,DFO-5484,Paraguay,2023-10-30,2023-11-04
19,EM-DAT,2023-0753-PRY,Paraguay,2023-10-30,2023-11-04
20,DFO,DFO-5485,Colombia,2023-10-30,2023-11-03
20,EM-DAT,2023-0810-COL,Colombia,2023-10-30,2023-11-28
21,DFO,DFO-5483,Burundi,2023-10-26,2023-10-27
21,EM-DAT,2023-0809-BDI,Burundi,2023-10-26,2023-12-27
22,DFO,DFO-5477,Kenya,2023-10-15,2023-11-11
22,EM-DAT,2023-0721-KEN,Kenya,2023-10-15,2024-01-01
23,DFO,DFO-5473,Myanmar,2023-10-06,2023-10-10
23,EM-DAT,2023-0633-MMR,Myanmar,2023-10-05,2023-10-09
24,DFO,DFO-5475,Sri Lanka,2023-10-06,2023-10-07
24,EM-DAT,2023-0654-LKA,Sri Lanka,2023-09-28,2023-10-07
25,DFO,DFO-5482,India,2023-10-04,2023-10-04
25,EM-DAT,2023-0622-IND,India,2023-10-05,2023-10-05
26,DFO,DFO-5489,Somalia,2023-10-04,2023-11-30
26,EM-DAT,2023-0741-SOM,Somalia,2023-09-01,2023-11-20
26,EM-DAT,2023-0683-SOM,Somalia,2023-10-01,2023-10-01
27,DFO,DFO-5474,Brazil,2023-10-03,2023-10-10
27,EM-DAT,2023-0663-BRA,Brazil,2023-10-10,2023-10-10
28,DFO,DFO-5480,United States of America,2023-09-28,2023-09-29
28,EM-DAT,2023-0651-USA,United States of America,2023-09-29,2023-10-04
29,DFO,DFO-5471,Mexico,2023-09-25,2023-09-25
29,EM-DAT,2023-0647-MEX,Mexico,2023-09-25,2023-09-25
30,DFO,DFO-5472,Guatemala,2023-09-24,2023-09-25
30,EM-DAT,2023-0365-GTM,Guatemala,2023-05-01,2023-10-11
31,DFO,DFO-5469,South Africa,2023-09-23,2023-09-26
31,EM-DAT,2023-0619-ZAF,South Africa,2023-09-23,2023-09-24
32,DFO,DFO-5476,Ghana,2023-09-15,2023-10-24
32,EM-DAT,2023-0690-GHA,Ghana,2023-10-13,2023-10-19
33,DFO,DFO-5463,China • Hong Kong Special Administrative Region,2023-09-08,2023-09-08
33,EM-DAT,2023-0615-CHN,China,2023-09-07,2023-09-08
34,DFO,DFO-5462,Greece • Türkiye • Bulgaria,2023-09-05,2023-09-07
34,EM-DAT,2023-0582-GRC,Greece,2023-09-04,2023-09-07
34,EM-DAT,2023-0582-TUR,Türkiye,2023-09-06,2023-09-08
34,EM-DAT,2023-0582-BGR,Bulgaria,2023-09-07,2023-09-08
35,DFO,DFO-5459,Algeria,2023-09-02,2023-09-03
35,EM-DAT,2023-0580-DZA,Algeria,2023-09-02,2023-09-03
36,DFO,DFO-5460,Spain,2023-09-02,2023-09-04
36,EM-DAT,2023-0581-ESP,Spain,2023-09-02,2023-09-04
37,DFO,DFO-5467,Liberia,2023-09-01,2023-09-04
37,EM-DAT,2023-0001-LBR,Liberia,2023-09-01,2023-09-04
38,DFO,DFO-5457,Tajikistan,2023-08-23,2023-08-23
38,EM-DAT,2023-0570-TJK,Tajikistan,2023-08-27,2023-08-30
39,DFO,DFO-5454,Chile,2023-08-17,2023-08-21
39,EM-DAT,2023-0539-CHL,Chile,2023-08-17,2023-08-21
40,DFO,DFO-5452,Slovenia,2023-08-03,2023-08-04
40,EM-DAT,2023-0497-SVN,Slovenia,2023-08-03,2023-08-04
41,DFO,DFO-5450,Afghanistan,2023-07-22,2023-07-22
41,EM-DAT,2023-0462-AFG,Afghanistan,2023-07-22,2023-07-24
42,DFO,DFO-5451,Canada,2023-07-22,2023-07-22
42,EM-DAT,2023-0465-CAN,Canada,2023-07-21,2023-07-22
43,DFO,DFO-5439,United States of America,2023-07-09,2023-07-10
43,DFO,DFO-5444,United States of America,2023-07-10,2023-07-12
43,DFO,DFO-5446,United States of America,2023-07-15,2023-07-16
43,DFO,DFO-5448,United States of America,2023-07-19,2023-07-20
43,EM-DAT,2023-0426-USA,United States of America,2023-07-09,2023-07-18
44,DFO,DFO-5432,India,2023-06-14,2023-06-22
44,DFO,DFO-5433,India,2023-06-16,2023-06-20
44,DFO,DFO-5445,India,2023-07-09,2023-07-13
44,EM-DAT,2023-0330-IND,India,2023-06-14,2023-06-23
44,EM-DAT,2023-0428-IND,India,2023-06-25,2023-09-07
44,EM-DAT,2023-0359-IND,India,2023-06-26,2023-07-12
45,DFO,DFO-5447,Republic of Korea,2023-07-09,2023-07-16
45,EM-DAT,2023-0440-KOR,Republic of Korea,2023-07-09,2023-07-16
46,DFO,DFO-5440,Indonesia,2023-07-07,2023-07-09
46,EM-DAT,2023-0437-IDN,Indonesia,2023-07-07,2023-07-14
47,DFO,DFO-5443,Brazil,2023-07-07,2023-07-10
47,EM-DAT,2023-0434-BRA,Brazil,2023-07-10,2023-07-14
48,DFO,DFO-5436,Chile,2023-06-23,2023-06-23
48,EM-DAT,2023-0362-CHL,Chile,2023-06-21,2023-06-25
49,DFO,DFO-5434,Ghana,2023-06-21,2023-06-24
49,EM-DAT,2023-0368-GHA,Ghana,2023-06-21,2023-06-26
50,DFO,DFO-5431,Nepal,2023-06-17,2023-06-19
50,EM-DAT,2023-0326-NPL,Nepal,2023-06-15,2023-06-19
51,DFO,DFO-5430,Brazil,2023-06-16,2023-06-18
51,EM-DAT,2023-0325-BRA,Brazil,2023-06-15,2023-06-16
52,DFO,DFO-5428,Pakistan,2023-06-10,2023-06-11
52,EM-DAT,2023-0354-PAK,Pakistan,2023-06-10,2023-06-29
53,DFO,DFO-5429,Cuba,2023-06-08,2023-06-10
53,EM-DAT,2023-0337-CUB,Cuba,2023-06-08,2023-06-10
54,DFO,DFO-5423,Haiti,2023-06-03,2023-06-05
54,EM-DAT,2023-0339-HTI,Haiti,2023-06-02,2023-06-06
55,DFO,DFO-5425,Ecuador,2023-06-03,2023-06-04
55,EM-DAT,2023-0342-ECU,Ecuador,2023-06-01,2023-06-08
56,DFO,DFO-5422,China,2023-06-01,2023-06-02
56,EM-DAT,2023-0341-CHN,China,2023-06-01,2023-06-05
57,DFO,DFO-5419,Bosnia and Herzegovina,2023-05-17,2023-05-18
57,EM-DAT,2023-0321-BIH,Bosnia and Herzegovina,2023-05-14,2023-05-19
58,DFO,DFO-5418,Italy,2023-05-16,2023-05-25
58,EM-DAT,2023-0293-ITA,Italy,2023-05-16,2023-05-20
59,DFO,DFO-5417,Croatia,2023-05-12,2023-05-17
59,EM-DAT,2023-0319-HRV,Croatia,2023-05-12,2023-05-17
60,DFO,DFO-5413,Democratic Republic of the Congo,2023-05-04,2023-05-05
60,EM-DAT,2023-0281-COD,Democratic Republic of the Congo,2023-05-02,2023-05-05
61,DFO,DFO-5412,Italy,2023-05-03,2023-05-03
61,EM-DAT,2023-0270-ITA,Italy,2023-04-30,2023-05-03
62,DFO,DFO-5411,Rwanda,2023-05-02,2023-05-03
62,EM-DAT,2023-0267-RWA,Rwanda,2023-05-01,2023-05-03
63,DFO,DFO-5401,Ethiopia,2023-03-15,2023-04-03
63,DFO,DFO-5416,Ethiopia,2023-05-01,2023-05-05
63,EM-DAT,2023-0187-ETH,Ethiopia,2023-03-25,2023-05-12
64,DFO,DFO-5410,Pakistan,2023-04-29,2023-04-30
64,EM-DAT,2023-0266-PAK,Pakistan,2023-04-29,2023-05-03
65,DFO,DFO-5408,Brazil,2023-04-21,2023-04-22
65,EM-DAT,2023-0257-BRA,Brazil,2023-04-25,2023-04-27
66,DFO,DFO-5409,Kenya,2023-04-21,2023-04-30
66,EM-DAT,2023-0259-KEN,Kenya,2023-04-25,2023-04-27
67,DFO,DFO-5406,Ukraine,2023-04-15,2023-04-16
67,EM-DAT,2023-0242-UKR,Ukraine,2023-04-15,2023-04-15
68,DFO,DFO-5405,United Republic of Tanzania,2023-04-03,2023-04-12
68,EM-DAT,2023-0236-TZA,United Republic of Tanzania,2023-04-01,2023-04-02
68,EM-DAT,2023-0226-TZA,United Republic of Tanzania,2023-04-12,2023-04-17
69,DFO,DFO-5395,Kenya,2023-03-23,2023-03-27
69,DFO,DFO-5400,Kenya,2023-04-02,2023-04-02
69,EM-DAT,2023-0187-KEN,Kenya,2023-03-25,2023-03-30
70,DFO,DFO-5407,Angola,2023-04-01,2023-04-21
70,EM-DAT,2023-0247-AGO,Angola,2023-04-01,2023-04-30
71,DFO,DFO-5402,Burundi,2023-03-31,2023-04-04
71,EM-DAT,2023-0222-BDI,Burundi,2023-03-31,2023-04-12
72,DFO,DFO-5389,Brazil,2023-03-16,2023-03-21
72,DFO,DFO-5396,Brazil,2023-03-23,2023-03-28
72,DFO,DFO-5391,Brazil,2023-03-25,2023-03-25
72,EM-DAT,2023-0157-BRA,Brazil,2023-03-16,2023-03-23
72,EM-DAT,2023-0204-BRA,Brazil,2023-03-20,2023-03-21
72,EM-DAT,2023-0179-BRA,Brazil,2023-03-24,2023-03-27
72,EM-DAT,2023-0203-BRA,Brazil,2023-03-29,2023-03-29
